,UNK
0,웁
1,셩
2,듦
3,욘
4,뗐
5,픕
6,헸
7,홋
8,꿉
9,셤
10,쥴
11,펭
12,앳
13,쾰
14,쾨
15,잽
16,씸
17,펐
18,갭
19,쫒
20,웩
21,깼
22,섥
23,앴
24,겜
25,쩝
26,핥
27,짰
28,뮐
29,뎁
30,뎠
31,읾
32,휼
33,쿱
34,놉
35,퀼
36,졍
37,렜
38,쑨
39,찝
40,뺄
41,힛
42,낟
43,탰
44,퀵
45,빰
46,옞
47,뀜
48,헴
49,낍
50,큳
51,멉
52,땔
53,룀
54,큽
55,뤽
56,삯
57,옅
58,겅
59,젬
60,핌
61,훅
62,샨
63,햬
64,뎃
65,쥘
66,뼉
67,앎
68,겆
69,됭
70,뮈
71,쌉
72,웡
73,퉜
74,숀
75,컹
76,．
77,벵
78,뗀
79,쁩
80,볐
81,뱡
82,탯
83,챗
84,슌
85,슝
86,뼛
87,뿡
88,젼
89,횃
90,킵
91,뗏
92,쨍
93,헵
94,궜
95,쳇
96,쐈
97,꼐
98,줏
99,쨋
100,읜
101,됬
102,츨
103,찟
104,졔
105,쇳
106,##웁
107,##셩
108,##듦
109,##욘
110,##뗐
111,##픕
112,##헸
113,##홋
114,##꿉
115,##셤
116,##쥴
117,##펭
118,##앳
119,##쾰
120,##쾨
121,##잽
122,##씸
123,##펐
124,##갭
125,##쫒
126,##웩
127,##깼
128,##섥
129,##앴
130,##겜
131,##쩝
132,##핥
133,##짰
134,##뮐
135,##뎁
136,##뎠
137,##읾
138,##휼
139,##쿱
140,##놉
141,##퀼
142,##졍
143,##렜
144,##쑨
145,##찝
146,##뺄
147,##힛
148,##낟
149,##탰
150,##퀵
151,##빰
152,##옞
153,##뀜
154,##헴
155,##낍
156,##큳
157,##멉
158,##땔
159,##룀
160,##큽
161,##뤽
162,##삯
163,##옅
164,##겅
165,##젬
166,##핌
167,##훅
168,##샨
169,##햬
170,##뎃
171,##쥘
172,##뼉
173,##앎
174,##겆
175,##됭
176,##뮈
177,##쌉
178,##웡
179,##퉜
180,##숀
181,##컹
182,##．
183,##벵
184,##뗀
185,##쁩
186,##볐
187,##뱡
188,##탯
189,##챗
190,##슌
191,##슝
192,##뼛
193,##뿡
194,##젼
195,##횃
196,##킵
197,##뗏
198,##쨍
199,##헵
200,##궜
201,##쳇
202,##쐈
203,##꼐
204,##줏
205,##쨋
206,##읜
207,##됬
208,##츨
209,##찟
210,##졔
211,##쇳
